"Country Name","gunDeathsByCountry_totalDeaths","totalRate","shareOfDeaths"
"Ecuador",1127,6.132543361625199,0.4523851575922031
"Guatemala",5982,32.584485710379376,2.401213853342111
"Senegal",241,1.322608533064143,0.09673897336266277
"Netherlands",85,0.4810106883404424,0.03411955492044123
"Cambodia",200,1.1680982781822544,0.08028130569515582
"Zimbabwe",253,1.486458451635548,0.10155585170437212
"Guinea",477,3.2831409678864762,0.19147091408294664
"Rwanda",251,1.7412526335578924,0.10075303864742056
"Benin",424,3.011348237423786,0.17019636807373034
"Burundi",222,1.633354932367702,0.08911224932162297
"Bolivia",452,3.5966254105086395,0.18143575087105215
"Tunisia",79,0.6287461631561274,0.03171111574958655
"Haiti",1975,16.6427488596557,0.7927778937396638
"Belgium",228,1.9460942145179652,0.09152068849247763
"Dominican Republic",1526,13.346154737556962,0.6125463624540389
"Jordan",195,1.712791708190886,0.07827427305277693
"South Sudan",295,2.615922615511162,0.11841492590035485
"Cuba",78,0.6980123739696152,0.031309709221110774
"Honduras",2091,19.43415835409501,0.8393410510428542
"Sweden",152,1.4240651457338613,0.061013792328318425
"Papua New Guinea",141,1.3408410287464907,0.056598320515084864
"Azerbaijan",55,0.5256666791552326,0.02207735906616785
"Tajikistan",39,0.3774858532336938,0.015654854610555387
"Greece",148,1.4365138526525034,0.05940816621441531
"Portugal",211,2.0639029343515514,0.0846967775083894
"Hungary",56,0.560280532462604,0.02247876559464363
"United Arab Emirates",89,0.9278707669936143,0.03572518103434434
"Belarus",108,1.1422483063789173,0.043351905075384146
"Israel",201,2.158585823439278,0.0806827122236316
"Togo",269,2.9046965812261147,0.10797835615998458
"Sierra Leone",158,1.7598629178170748,0.0634222314991731
"Austria",237,2.6400393265604998,0.09513334724875966
"Switzerland",239,2.700128374722686,0.09593616030571121
"Laos",192,2.4816843294947795,0.07707005346734959
"Nicaragua",226,3.164145360837877,0.09071787543552608
"Serbia",299,4.213031144867965,0.12002055201425796
"Libya",70,1.00514100907829,0.028098456993304537
"Paraguay",625,8.996339569356019,0.250879080297362
"Kyrgyzstan",46,0.6725533605298316,0.01846470030988584
"Bulgaria",121,1.8281770430822764,0.048570189945569275
"Turkmenistan",57,0.8638888547880131,0.022880172123119408
"El Salvador",2313,36.16159307373385,0.9284533003644772
"Republic of the Congo",90,1.4412574683159565,0.036126587562820126
"Singapore",3,0.04956458339563326,0.0012042195854273373
"Denmark",64,1.0774964034348566,0.025690017822449864
"Central African Republic",188,3.1780232256022902,0.07546442735344648
"Slovakia",75,1.3151360587160905,0.030105489635683432
"Finland",161,2.9009604881974154,0.06462645108460044
"Liberia",93,1.6796253676889565,0.037330807148247463
"Norway",77,1.3963246197236838,0.03090830269263499
"Palestine",266,4.840796926203143,0.10677413657455725
"New Zealand",48,0.910826482052259,0.019267513366837397
"Costa Rica",420,8.005010374112254,0.16859074195982723
"Lebanon",82,1.5711689727084117,0.03291533533501389
"Ireland",29,0.5698030328454117,0.011640789325797596
"Mauritania",89,1.7821664014776362,0.03572518103434434
"Oman",4,0.08486167440994086,0.0016056261139031165
"Panama",460,10.15909810177252,0.1846470030988584
"Kuwait",18,0.41385208926329725,0.007225317512564024
"Croatia",98,2.458218438795503,0.039337839790626355
"Eritrea",354,9.27271769996786,0.1420979110804258
"Georgia",103,2.770735119067634,0.04134487243300525
"Mongolia",30,0.8587059473115205,0.012042195854273375
"Uruguay",382,11.158771203125857,0.1533372938777476
"Moldova",22,0.6606874452868209,0.008830943626467141
"Puerto Rico",683,20.89450508167824,0.27416065894895714
"Bosnia and Herzegovina",37,1.158284961892425,0.014852041553603828
